danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.474,0.801,8,-5.978,0,0.375,0.102,0.0,0.322,0.497,147.356,audio_features,4huBDGP4I3S0pYI0EaRN1c,spotify:track:4huBDGP4I3S0pYI0EaRN1c,https://api.spotify.com/v1/tracks/4huBDGP4I3S0pYI0EaRN1c,https://api.spotify.com/v1/audio-analysis/4huBDGP4I3S0pYI0EaRN1c,256000,4
0.69,0.949,10,-3.13,0,0.379,0.124,0.0,0.0429,0.757,163.954,audio_features,3BMG9dnjNymT1OGUXQTAXl,spotify:track:3BMG9dnjNymT1OGUXQTAXl,https://api.spotify.com/v1/tracks/3BMG9dnjNymT1OGUXQTAXl,https://api.spotify.com/v1/audio-analysis/3BMG9dnjNymT1OGUXQTAXl,179534,4
0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,audio_features,7Fege3yv4dvehB3NdRBGwI,spotify:track:7Fege3yv4dvehB3NdRBGwI,https://api.spotify.com/v1/tracks/7Fege3yv4dvehB3NdRBGwI,https://api.spotify.com/v1/audio-analysis/7Fege3yv4dvehB3NdRBGwI,200000,4
0.646,0.597,1,-6.045,1,0.401,0.11,0.0,0.0958,0.6,88.506,audio_features,70pwY1UfPmSVE3ybPjFy0p,spotify:track:70pwY1UfPmSVE3ybPjFy0p,https://api.spotify.com/v1/tracks/70pwY1UfPmSVE3ybPjFy0p,https://api.spotify.com/v1/audio-analysis/70pwY1UfPmSVE3ybPjFy0p,184893,4
0.842,0.505,1,-8.627,0,0.402,0.472,0.000322,0.117,0.538,119.993,audio_features,1PNs0uGru3TcrA94kpyGnc,spotify:track:1PNs0uGru3TcrA94kpyGnc,https://api.spotify.com/v1/tracks/1PNs0uGru3TcrA94kpyGnc,https://api.spotify.com/v1/audio-analysis/1PNs0uGru3TcrA94kpyGnc,207065,4
0.811,0.531,2,-7.23,1,0.414,0.127,0.0,0.102,0.338,106.557,audio_features,707rK2RH1p0fUCYwUNLsWv,spotify:track:707rK2RH1p0fUCYwUNLsWv,https://api.spotify.com/v1/tracks/707rK2RH1p0fUCYwUNLsWv,https://api.spotify.com/v1/audio-analysis/707rK2RH1p0fUCYwUNLsWv,132173,5
0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,audio_features,3XOalgusokruzA5ZBA2Qcb,spotify:track:3XOalgusokruzA5ZBA2Qcb,https://api.spotify.com/v1/tracks/3XOalgusokruzA5ZBA2Qcb,https://api.spotify.com/v1/audio-analysis/3XOalgusokruzA5ZBA2Qcb,136267,1
0.834,0.696,10,-6.614,0,0.175,0.00264,0.000179,0.328,0.545,162.971,audio_features,3daUZMkia3HT0E7xITejR6,spotify:track:3daUZMkia3HT0E7xITejR6,https://api.spotify.com/v1/tracks/3daUZMkia3HT0E7xITejR6,https://api.spotify.com/v1/audio-analysis/3daUZMkia3HT0E7xITejR6,141347,4
0.878,0.575,9,-8.732,1,0.284,0.00293,0.0,0.273,0.399,144.918,audio_features,49BbpJuVsX2wUl0Qo9aVvC,spotify:track:49BbpJuVsX2wUl0Qo9aVvC,https://api.spotify.com/v1/tracks/49BbpJuVsX2wUl0Qo9aVvC,https://api.spotify.com/v1/audio-analysis/49BbpJuVsX2wUl0Qo9aVvC,185213,4
0.679,0.73,1,-7.483,1,0.0689,0.00421,0.0,0.0736,0.292,148.038,audio_features,5dqeWGM9sqLd5bZhyBikrZ,spotify:track:5dqeWGM9sqLd5bZhyBikrZ,https://api.spotify.com/v1/tracks/5dqeWGM9sqLd5bZhyBikrZ,https://api.spotify.com/v1/audio-analysis/5dqeWGM9sqLd5bZhyBikrZ,167840,4
0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,audio_features,0lEjxUUlKqjqXrVlIHFduD,spotify:track:0lEjxUUlKqjqXrVlIHFduD,https://api.spotify.com/v1/tracks/0lEjxUUlKqjqXrVlIHFduD,https://api.spotify.com/v1/audio-analysis/0lEjxUUlKqjqXrVlIHFduD,193347,4
0.821,0.572,5,-6.192,0,0.166,0.00495,0.0,0.107,0.35,155.699,audio_features,3ABFD8SzXwMbUspLFxbbwK,spotify:track:3ABFD8SzXwMbUspLFxbbwK,https://api.spotify.com/v1/tracks/3ABFD8SzXwMbUspLFxbbwK,https://api.spotify.com/v1/audio-analysis/3ABFD8SzXwMbUspLFxbbwK,160267,4
0.895,0.543,11,-6.766,0,0.298,0.181,0.0,0.12,0.555,120.078,audio_features,19QKaApDINxlRSKX3w1xSB,spotify:track:19QKaApDINxlRSKX3w1xSB,https://api.spotify.com/v1/tracks/19QKaApDINxlRSKX3w1xSB,https://api.spotify.com/v1/audio-analysis/19QKaApDINxlRSKX3w1xSB,193987,4
0.748,0.607,7,-6.067,1,0.212,0.022,0.0,0.1,0.618,80.98,audio_features,13LrJDJhegSLCZzqd5InmU,spotify:track:13LrJDJhegSLCZzqd5InmU,https://api.spotify.com/v1/tracks/13LrJDJhegSLCZzqd5InmU,https://api.spotify.com/v1/audio-analysis/13LrJDJhegSLCZzqd5InmU,142227,4
0.744,0.535,6,-9.499,0,0.0736,0.279,0.0,0.143,0.106,132.86,audio_features,6f9GhvtmiQR6JNXRZJKYlj,spotify:track:6f9GhvtmiQR6JNXRZJKYlj,https://api.spotify.com/v1/tracks/6f9GhvtmiQR6JNXRZJKYlj,https://api.spotify.com/v1/audio-analysis/6f9GhvtmiQR6JNXRZJKYlj,144373,4
0.884,0.675,5,-7.209,0,0.185,0.134,0.0,0.13,0.452,133.963,audio_features,7rEUuRanwV9piOwwPKxPIM,spotify:track:7rEUuRanwV9piOwwPKxPIM,https://api.spotify.com/v1/tracks/7rEUuRanwV9piOwwPKxPIM,https://api.spotify.com/v1/audio-analysis/7rEUuRanwV9piOwwPKxPIM,122693,4
0.903,0.537,5,-6.854,0,0.283,0.16,0.0,0.129,0.737,115.013,audio_features,6tsVFchreYTt2OPXSOoFCX,spotify:track:6tsVFchreYTt2OPXSOoFCX,https://api.spotify.com/v1/tracks/6tsVFchreYTt2OPXSOoFCX,https://api.spotify.com/v1/audio-analysis/6tsVFchreYTt2OPXSOoFCX,120000,4
